SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OF,GES,XGBoost,29,42,3e834183c2b917ff,0.942469838099167,0.47590197468377954,0.48484848484848486,0.015581919125917039,0.010958952675496722
OF,GES,LightGBM,29,42,3e834183c2b917ff,0.9276874307922792,0.47980385901216727,0.4925373134328358,0.01677293096304569,0.016796061996743328
OF,GES,RF,29,42,3e834183c2b917ff,0.9218938851133739,0.4401184376142074,0.4,0.015828642996924797,0.0066547386077718765
OF,GES,Logit,29,42,3e834183c2b917ff,0.9195996265497101,0.2457262914816358,0.34782608695652173,0.01981986556372622,0.010780961793055394
OF,GES,FFMLP,29,42,3e834183c2b917ff,0.880463338906138,0.2675512048121777,0.38095238095238093,0.01927150769665548,0.008628902737356395
OF,GES,XGBoost,30,43,18e3a83b1f31caef,0.9370743498997619,0.47491528256500853,0.4583333333333333,0.015822415958047332,0.012303531992446807
OF,GES,RF,30,43,18e3a83b1f31caef,0.9359579796049822,0.43794063049863297,0.4148936170212766,0.015806858261112666,0.0035208275090858254
OF,GES,LightGBM,30,43,18e3a83b1f31caef,0.9299346461992748,0.4814519368388536,0.4755244755244755,0.01657248810329898,0.016521664100264455
OF,GES,Logit,30,43,18e3a83b1f31caef,0.9201460509079329,0.24655588968594358,0.28169014084507044,0.019746532162942542,0.010310612950975044
OF,GES,FFMLP,30,43,18e3a83b1f31caef,0.8774417207662969,0.2599954875836688,0.4,0.019349425213827775,0.008524723685569675
OF,GES,XGBoost,31,44,9085e09d1c8276c3,0.9409463635639895,0.46864199915226507,0.4581005586592179,0.015861565202981532,0.011449365129890655
OF,GES,RF,31,44,9085e09d1c8276c3,0.9279678803801087,0.42815093020621636,0.4,0.015904053676265024,0.004152082750908582
OF,GES,LightGBM,31,44,9085e09d1c8276c3,0.9250023521578334,0.4832598473882386,0.4925373134328358,0.016421473308440897,0.015554752595502958
OF,GES,Logit,31,44,9085e09d1c8276c3,0.9194874467145784,0.24625994780158503,0.345679012345679,0.01977320629358531,0.010402485770398177
OF,GES,FFMLP,31,44,9085e09d1c8276c3,0.883510287976493,0.27869599536116824,0.39766081871345027,0.019680239316224528,0.007872710502785879
OF,GES,XGBoost,32,45,e759bc3ca9235cbe,0.9386557237046849,0.4662313748797306,0.45161290322580644,0.016000377368231927,0.012159359523428195
OF,GES,RF,32,45,e759bc3ca9235cbe,0.9322560450456319,0.43715299471119473,0.41228070175438597,0.015858274531730502,0.00465194296896841
OF,GES,LightGBM,32,45,e759bc3ca9235cbe,0.9311215812290567,0.4853481456210773,0.5,0.016662097316234584,0.016495188791168063
OF,GES,Logit,32,45,e759bc3ca9235cbe,0.9205006839351239,0.24813331451240156,0.28368794326241137,0.019741211220210483,0.010609501829875178
OF,GES,FFMLP,32,45,e759bc3ca9235cbe,0.8880155749035615,0.2838798732986338,0.3972602739726027,0.019123531010843554,0.008777127267159094
OF,GES,XGBoost,33,46,45302385731be391,0.9437544781466445,0.47283936422033035,0.5034013605442177,0.01573229084711119,0.011262961666169765
OF,GES,RF,33,46,45302385731be391,0.9404325075449986,0.4390129436126019,0.4090909090909091,0.0158345988258317,0.003942968968409281
OF,GES,LightGBM,33,46,45302385731be391,0.9308357035846885,0.48804464573791834,0.484375,0.016791960893926313,0.017023669820513246
